Network,Address,Contract Name,Method,Role,Wallet,Identity
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,mintPreCollateralized,onlyPreCollateralizedMinter,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0x2B4Ad1d479561064cd1C311004Aca93d15041aEc,AegisOracle,updateYUSDPrice,onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
Ethereum,0x2B4Ad1d479561064cd1C311004Aca93d15041aEc,AegisOracle,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xfA449DC17194Fdaca1dd2237C828938f1917e0E7,AegisOracleJUSD,updateJUSDPrice,onlyOperator,0x4a09579f3f07C474436eCbe6c4D4fF4111795650,Server Trusted Signer
Ethereum,0xfA449DC17194Fdaca1dd2237C828938f1917e0E7,AegisOracleJUSD,setOperator,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x8aDCFAf1B64Cc514524B80565bCc732273dDEafD,AegisRewards,finalizeRewards,REWARDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0x8aDCFAf1B64Cc514524B80565bCc732273dDEafD,AegisRewards,withdrawExpiredRewards,REWARDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0x8aDCFAf1B64Cc514524B80565bCc732273dDEafD,AegisRewards,setAegisConfigAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x8aDCFAf1B64Cc514524B80565bCc732273dDEafD,AegisRewards,setAegisMintingAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x8aDCFAf1B64Cc514524B80565bCc732273dDEafD,AegisRewards,setAegisIncomeRouterAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc86168d2424d28942EE0866F043c1206bc9E4900,JUSD,setMinter,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc86168d2424d28942EE0866F043c1206bc9E4900,JUSD,addBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xc86168d2424d28942EE0866F043c1206bc9E4900,JUSD,removeBlackList,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0x4274cD7277C7bb0806Bd5FE84b9aDAE466a8DA0a,YUSD,setMinter,onlyOwner,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
